Player,Time,ACS,Kills,Death,Assists,Kills - Death,ADR,First Kill,First Death,First Kill - First Death,HS%,Adversário,Mapa,Mapa Pick,Lado de Início,Data,Rounds Vencidos,Rounds Perdidos,Astra,Breach,Brimstone,Cypher,Jett,Kay/O,Killjoy,Omen,Phoenix,Raze,Reyna,Sage,Skye,Sova,Viper,Yoru,Etapa,Campeonato,Bracket,MD
Yasgmin,DALE GIRLS,221,17,14,2,3,1458,4,2,2,26%,Valkirias eSports,Bind,Null,Ataque,03/06/2021,13,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Daiyana,DALE GIRLS,211,16,14,5,2,1106,1,2,-1,18%,Valkirias eSports,Bind,Null,Ataque,03/06/2021,13,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
juji,DALE GIRLS,183,13,12,11,1,1125,0,2,-2,23%,Valkirias eSports,Bind,Null,Ataque,03/06/2021,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
jubs,DALE GIRLS,182,12,15,13,-3,1231,2,1,1,19%,Valkirias eSports,Bind,Null,Ataque,03/06/2021,13,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Misty,Valkirias eSports,308,17,9,4,8,2320,2,1,1,34%,DALE GIRLS,Icebox,Null,Defesa,03/06/2021,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
ScherBi,Valkirias eSports,248,13,7,6,6,1328,2,1,1,19%,DALE GIRLS,Icebox,Null,Defesa,03/06/2021,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
GabiT,Valkirias eSports,243,12,11,4,1,1349,2,3,-1,28%,DALE GIRLS,Icebox,Null,Defesa,03/06/2021,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,Protocolo: Gêneses,Oitavas de Final,3
lya,Valkirias eSports,235,12,9,3,3,1678,1,0,1,12%,DALE GIRLS,Icebox,Null,Defesa,03/06/2021,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
BOWIE,Valkirias eSports,210,12,8,4,4,1030,2,1,1,21%,DALE GIRLS,Icebox,Null,Defesa,03/06/2021,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
juji,DALE GIRLS,222,11,13,5,-2,1597,1,2,-1,8%,Valkirias eSports,Icebox,Null,Ataque,03/06/2021,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,Protocolo: Gêneses,Oitavas de Final,3
