Player,Time,Região,ACS,Kills,Ignorar,Deaths,Assists,ADR (Ignorar),ADR,First Kill,First Death,FK - FD,HS%,Adversário,Região Adiversário,Mapa,Mapa Pick,Lado de Início,Rounds Vencidos,Rounds Perdidos,Resultado,Rounds Ataque,Rounds Defesa,Agente,Data,Etapa,Campeonato,Grupo,Bracket,MD
Ethan,100 Thieves,NA,164,15,/18/,18,4,1125,"112,5",0,3,-3,"0,26",Gambit Esports,EMEA,Split,Gambit Esports,Defesa,13,10,Vencedor,4,9,Skye,12/09/2021,0,Masters Berlin 2021,C,Vencedor,3
steel,100 Thieves,NA,151,12,/17/,17,10,985,"98,5",0,3,-3,"0,12",Gambit Esports,EMEA,Split,Gambit Esports,Defesa,13,10,Vencedor,4,9,Kay/O,12/09/2021,0,Masters Berlin 2021,C,Vencedor,3
yay,Team Envy,NA,349,26,/15/,15,4,2231,"223,1",5,1,4,"0,2",KRÜ,LATAM,Icebox,KRÜ,Defesa,13,9,Vencedor,7,6,Jett,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Victor,Team Envy,NA,294,23,/15/,15,7,1947,"194,7",3,3,0,"0,23",KRÜ,LATAM,Icebox,KRÜ,Defesa,13,9,Vencedor,7,6,Raze,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Marved,Team Envy,NA,202,15,/16/,16,8,1481,"148,1",0,4,-4,"0,34",KRÜ,LATAM,Icebox,KRÜ,Defesa,13,9,Vencedor,7,6,Viper,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
crashies,Team Envy,NA,160,13,/14/,14,5,1566,"156,6",2,2,0,"0,22",KRÜ,LATAM,Icebox,KRÜ,Defesa,13,9,Vencedor,7,6,Sova,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
FNS,Team Envy,NA,160,12,/15/,15,3,1137,"113,7",0,2,-2,"0,17",KRÜ,LATAM,Icebox,KRÜ,Defesa,13,9,Vencedor,7,6,Killjoy,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
NagZ,KRÜ,LATAM,255,20,/16/,16,2,1569,"156,9",5,2,3,"0,27",Team Envy,NA,Icebox,KRÜ,Ataque,9,13,Perdedor,6,3,Jett,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
keznit,KRÜ,LATAM,222,18,/20/,20,2,1366,"136,6",3,2,1,"0,46",Team Envy,NA,Icebox,KRÜ,Ataque,9,13,Perdedor,6,3,Reyna,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Mazino,KRÜ,LATAM,218,16,/18/,18,5,1427,"142,7",2,2,0,"0,25",Team Envy,NA,Icebox,KRÜ,Ataque,9,13,Perdedor,6,3,Viper,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Klaus,KRÜ,LATAM,167,12,/18/,18,7,1165,"116,5",1,1,0,"0,22",Team Envy,NA,Icebox,KRÜ,Ataque,9,13,Perdedor,6,3,Sova,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
delz1k,KRÜ,LATAM,104,8,/17/,17,2,806,"80,6",1,3,-2,"0,28",Team Envy,NA,Icebox,KRÜ,Ataque,9,13,Perdedor,6,3,Sage,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
crashies,Team Envy,NA,295,16,/5/,5,9,1978,"197,8",1,0,1,"0,45",KRÜ,LATAM,Ascent,Team Envy,Ataque,13,2,Vencedor,10,3,Sova,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
yay,Team Envy,NA,294,17,/11/,11,4,1890,189,4,0,4,"0,23",KRÜ,LATAM,Ascent,Team Envy,Ataque,13,2,Vencedor,10,3,Jett,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Marved,Team Envy,NA,239,14,/5/,5,6,1345,"134,5",1,3,-2,"0,19",KRÜ,LATAM,Ascent,Team Envy,Ataque,13,2,Vencedor,10,3,Astra,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Victor,Team Envy,NA,235,13,/11/,11,6,1557,"155,7",2,3,-1,"0,22",KRÜ,LATAM,Ascent,Team Envy,Ataque,13,2,Vencedor,10,3,Skye,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
FNS,Team Envy,NA,119,7,/7/,7,2,858,"85,8",0,1,-1,"0,1",KRÜ,LATAM,Ascent,Team Envy,Ataque,13,2,Vencedor,10,3,Killjoy,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Klaus,KRÜ,LATAM,239,11,/13/,13,2,1719,"171,9",0,0,0,"0,28",Team Envy,NA,Ascent,Team Envy,Defesa,2,13,Perdedor,0,2,Sova,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
delz1k,KRÜ,LATAM,219,12,/12/,12,1,1252,"125,2",2,2,0,"0,36",Team Envy,NA,Ascent,Team Envy,Defesa,2,13,Perdedor,0,2,Astra,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
NagZ,KRÜ,LATAM,176,7,/14/,14,2,1133,"113,3",3,3,0,"0,07",Team Envy,NA,Ascent,Team Envy,Defesa,2,13,Perdedor,0,2,Jett,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
Mazino,KRÜ,LATAM,132,5,/14/,14,3,1049,"104,9",1,1,0,"0,18",Team Envy,NA,Ascent,Team Envy,Defesa,2,13,Perdedor,0,2,Killjoy,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
keznit,KRÜ,LATAM,80,4,/14/,14,3,566,"56,6",1,2,-1,"0,43",Team Envy,NA,Ascent,Team Envy,Defesa,2,13,Perdedor,0,2,Skye,13/09/2021,0,Masters Berlin 2021,B,Vencedor,3
BuZz,Vision Strikers,KR,352,27,/10/,10,1,2150,215,8,4,4,"0,24",Acend,EMEA,Haven,Vision Strikers,Defesa,13,7,Vencedor,5,8,Jett,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
Rb,Vision Strikers,KR,234,17,/9/,9,9,1504,"150,4",1,0,1,"0,25",Acend,EMEA,Haven,Vision Strikers,Defesa,13,7,Vencedor,5,8,Skye,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
k1Ng,Vision Strikers,KR,181,11,/13/,13,9,1395,"139,5",1,2,-1,"0,24",Acend,EMEA,Haven,Vision Strikers,Defesa,13,7,Vencedor,5,8,Killjoy,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
MaKo,Vision Strikers,KR,156,13,/7/,7,11,1095,"109,5",0,1,-1,"0,23",Acend,EMEA,Haven,Vision Strikers,Defesa,13,7,Vencedor,5,8,Astra,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
stax,Vision Strikers,KR,153,11,/10/,10,12,1119,"111,9",2,1,1,"0,29",Acend,EMEA,Haven,Vision Strikers,Defesa,13,7,Vencedor,5,8,Breach,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
cNed,Acend,EMEA,177,13,/15/,15,0,1128,"112,8",1,3,-2,"0,3",Vision Strikers,KR,Haven,Vision Strikers,Ataque,7,13,Perdedor,4,3,Jett,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
zeek,Acend,EMEA,172,11,/17/,17,2,1028,"102,8",6,2,4,"0,16",Vision Strikers,KR,Haven,Vision Strikers,Ataque,7,13,Perdedor,4,3,Phoenix,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
Kiles,Acend,EMEA,172,11,/16/,16,2,1173,"117,3",0,0,0,"0,26",Vision Strikers,KR,Haven,Vision Strikers,Ataque,7,13,Perdedor,4,3,Killjoy,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
starxo,Acend,EMEA,126,9,/16/,16,0,819,"81,9",0,2,-2,"0,15",Vision Strikers,KR,Haven,Vision Strikers,Ataque,7,13,Perdedor,4,3,Skye,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
BONECOLD,Acend,EMEA,76,5,/16/,16,7,543,"54,3",1,5,-4,"0,17",Vision Strikers,KR,Haven,Vision Strikers,Ataque,7,13,Perdedor,4,3,Omen,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
MaKo,Vision Strikers,KR,307,24,/14/,14,10,1935,"193,5",1,2,-1,"0,26",Acend,EMEA,Icebox,Acend,Ataque,13,9,Vencedor,7,6,Viper,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
Rb,Vision Strikers,KR,194,16,/11/,11,8,1405,"140,5",3,2,1,"0,28",Acend,EMEA,Icebox,Acend,Ataque,13,9,Vencedor,7,6,Sova,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
stax,Vision Strikers,KR,190,17,/13/,13,4,1230,123,3,5,-2,"0,35",Acend,EMEA,Icebox,Acend,Ataque,13,9,Vencedor,7,6,Sage,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
k1Ng,Vision Strikers,KR,189,14,/15/,15,4,1389,"138,9",1,1,0,"0,23",Acend,EMEA,Icebox,Acend,Ataque,13,9,Vencedor,7,6,Killjoy,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
BuZz,Vision Strikers,KR,155,13,/17/,17,2,990,99,3,1,2,"0,11",Acend,EMEA,Icebox,Acend,Ataque,13,9,Vencedor,7,6,Jett,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
cNed,Acend,EMEA,270,21,/17/,17,3,1785,"178,5",1,2,-1,"0,18",Vision Strikers,KR,Icebox,Acend,Defesa,9,13,Perdedor,4,5,Jett,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
BONECOLD,Acend,EMEA,261,21,/15/,15,4,1612,"161,2",1,1,0,"0,41",Vision Strikers,KR,Icebox,Acend,Defesa,9,13,Perdedor,4,5,Viper,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
zeek,Acend,EMEA,230,15,/18/,18,8,1726,"172,6",6,2,4,"0,2",Vision Strikers,KR,Icebox,Acend,Defesa,9,13,Perdedor,4,5,Reyna,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
starxo,Acend,EMEA,121,7,/14/,14,10,922,"92,2",3,3,0,"0,18",Vision Strikers,KR,Icebox,Acend,Defesa,9,13,Perdedor,4,5,Sage,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
Kiles,Acend,EMEA,69,6,/20/,20,3,464,"46,4",0,3,-3,"0,28",Vision Strikers,KR,Icebox,Acend,Defesa,9,13,Perdedor,4,5,Sova,13/09/2021,0,Masters Berlin 2021,A,Vencedor,3
Efina,F4Q,KR,263,18,/18/,18,4,1955,"195,5",2,3,-1,"0,18",Sentinels,NA,Split,F4Q,Ataque,9,13,Perdedor,5,4,Killjoy,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
Bunny,F4Q,KR,199,14,/19/,19,3,1816,"181,6",6,3,3,"0,17",Sentinels,NA,Split,F4Q,Ataque,9,13,Perdedor,5,4,Raze,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
zunba,F4Q,KR,195,16,/15/,15,9,1221,"122,1",3,1,2,"0,28",Sentinels,NA,Split,F4Q,Ataque,9,13,Perdedor,5,4,Astra,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
Esperanza,F4Q,KR,174,13,/19/,19,10,1143,"114,3",0,1,-1,"0,19",Sentinels,NA,Split,F4Q,Ataque,9,13,Perdedor,5,4,Sage,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
fiveK,F4Q,KR,135,11,/17/,17,8,963,"96,3",0,3,-3,"0,18",Sentinels,NA,Split,F4Q,Ataque,9,13,Perdedor,5,4,Skye,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
ShahZaM,Sentinels,NA,321,26,/15/,15,5,1906,"190,6",4,1,3,"0,18",F4Q,KR,Split,F4Q,Defesa,13,9,Vencedor,6,7,Jett,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
TenZ,Sentinels,NA,290,22,/16/,16,8,2869,"286,9",4,1,3,"0,21",F4Q,KR,Split,F4Q,Defesa,13,9,Vencedor,6,7,Reyna,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
SicK,Sentinels,NA,217,19,/13/,13,4,1420,142,0,3,-3,"0,37",F4Q,KR,Split,F4Q,Defesa,13,9,Vencedor,6,7,Sage,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
dapr,Sentinels,NA,145,11,/15/,15,7,992,"99,2",2,3,-1,"0,29",F4Q,KR,Split,F4Q,Defesa,13,9,Vencedor,6,7,Cypher,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
zombs,Sentinels,NA,136,10,/13/,13,9,938,"93,8",1,3,-2,"0,1",F4Q,KR,Split,F4Q,Defesa,13,9,Vencedor,6,7,Astra,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
Bunny,F4Q,KR,206,10,/12/,12,5,1531,"153,1",3,2,1,"0,24",Sentinels,NA,Breeze,Sentinels,Defesa,4,13,Perdedor,0,4,Jett,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
Esperanza,F4Q,KR,175,10,/15/,15,2,1195,"119,5",1,2,-1,"0,69",Sentinels,NA,Breeze,Sentinels,Defesa,4,13,Perdedor,0,4,Viper,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
Efina,F4Q,KR,172,11,/12/,12,1,1224,"122,4",1,4,-3,"0,28",Sentinels,NA,Breeze,Sentinels,Defesa,4,13,Perdedor,0,4,Killjoy,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
zunba,F4Q,KR,133,8,/15/,15,2,861,"86,1",2,2,0,"0,33",Sentinels,NA,Breeze,Sentinels,Defesa,4,13,Perdedor,0,4,Skye,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
fiveK,F4Q,KR,106,5,/15/,15,1,799,"79,9",0,0,0,"0,24",Sentinels,NA,Breeze,Sentinels,Defesa,4,13,Perdedor,0,4,Reyna,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
TenZ,Sentinels,NA,478,32,/7/,7,1,2826,"282,6",4,0,4,"0,35",F4Q,KR,Breeze,Sentinels,Ataque,13,4,Vencedor,8,5,Jett,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
SicK,Sentinels,NA,180,11,/10/,10,3,1208,"120,8",2,2,0,"0,23",F4Q,KR,Breeze,Sentinels,Ataque,13,4,Vencedor,8,5,Skye,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
ShahZaM,Sentinels,NA,147,8,/9/,9,3,1061,"106,1",1,1,0,"0,32",F4Q,KR,Breeze,Sentinels,Ataque,13,4,Vencedor,8,5,Sova,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
dapr,Sentinels,NA,145,9,/10/,10,3,969,"96,9",1,1,0,"0,18",F4Q,KR,Breeze,Sentinels,Ataque,13,4,Vencedor,8,5,Killjoy,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
zombs,Sentinels,NA,120,8,/8/,8,4,789,"78,9",2,3,-1,"0,21",F4Q,KR,Breeze,Sentinels,Ataque,13,4,Vencedor,8,5,Viper,13/09/2021,0,Masters Berlin 2021,D,Abertura,3
Esperanza,F4Q,KR,224,12,/14/,14,3,1586,"158,6",1,0,1,"0,41",G2 eSports,EMEA,Bind,F4Q,Defesa,3,13,Perdedor,0,3,Sova,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Efina,F4Q,KR,194,10,/13/,13,0,1370,137,2,3,-1,"0,4",G2 eSports,EMEA,Bind,F4Q,Defesa,3,13,Perdedor,0,3,Killjoy,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Bunny,F4Q,KR,150,6,/14/,14,4,1049,"104,9",2,3,-1,"0,2",G2 eSports,EMEA,Bind,F4Q,Defesa,3,13,Perdedor,0,3,Raze,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
fiveK,F4Q,KR,112,5,/14/,14,2,696,"69,6",0,1,-1,"0,07",G2 eSports,EMEA,Bind,F4Q,Defesa,3,13,Perdedor,0,3,Skye,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
zunba,F4Q,KR,67,3,/16/,16,2,393,"39,3",1,2,-1,"0,07",G2 eSports,EMEA,Bind,F4Q,Defesa,3,13,Perdedor,0,3,Astra,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
keloqz,G2 eSports,EMEA,293,18,/12/,12,0,1648,"164,8",2,1,1,"0,49",F4Q,KR,Bind,F4Q,Ataque,13,3,Vencedor,9,4,Skye,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
nukkye,G2 eSports,EMEA,285,16,/7/,7,6,1700,170,4,3,1,"0,2",F4Q,KR,Bind,F4Q,Ataque,13,3,Vencedor,9,4,Raze,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Mixwell,G2 eSports,EMEA,246,15,/8/,8,7,1563,"156,3",3,1,2,"0,32",F4Q,KR,Bind,F4Q,Ataque,13,3,Vencedor,9,4,Viper,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
koldamenta,G2 eSports,EMEA,189,10,/6/,6,13,1296,"129,6",0,1,-1,"0,19",F4Q,KR,Bind,F4Q,Ataque,13,3,Vencedor,9,4,Sova,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
AvovA,G2 eSports,EMEA,167,12,/4/,4,5,953,"95,3",1,1,0,"0,14",F4Q,KR,Bind,F4Q,Ataque,13,3,Vencedor,9,4,Astra,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Bunny,F4Q,KR,225,14,/15/,15,4,2047,"204,7",4,2,2,"0,13",G2 eSports,EMEA,Ascent,G2 eSports,Defesa,6,13,Perdedor,3,3,Raze,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Esperanza,F4Q,KR,199,12,/17/,17,5,1323,"132,3",3,1,2,"0,31",G2 eSports,EMEA,Ascent,G2 eSports,Defesa,6,13,Perdedor,3,3,Sova,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
zunba,F4Q,KR,183,14,/15/,15,2,1114,"111,4",1,1,0,"0,31",G2 eSports,EMEA,Ascent,G2 eSports,Defesa,6,13,Perdedor,3,3,Astra,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Efina,F4Q,KR,166,11,/14/,14,2,1602,"160,2",1,4,-3,"0,24",G2 eSports,EMEA,Ascent,G2 eSports,Defesa,6,13,Perdedor,3,3,Killjoy,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
fiveK,F4Q,KR,117,7,/15/,15,4,817,"81,7",0,2,-2,"0,05",G2 eSports,EMEA,Ascent,G2 eSports,Defesa,6,13,Perdedor,3,3,Skye,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
nukkye,G2 eSports,EMEA,276,20,/11/,11,10,1785,"178,5",3,0,3,"0,25",F4Q,KR,Ascent,G2 eSports,Ataque,13,6,Vencedor,9,4,Sage,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
koldamenta,G2 eSports,EMEA,219,15,/11/,11,8,1412,"141,2",3,2,1,"0,24",F4Q,KR,Ascent,G2 eSports,Ataque,13,6,Vencedor,9,4,Sova,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
AvovA,G2 eSports,EMEA,204,15,/14/,14,7,1369,"136,9",1,3,-2,"0,28",F4Q,KR,Ascent,G2 eSports,Ataque,13,6,Vencedor,9,4,Astra,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
keloqz,G2 eSports,EMEA,188,14,/12/,12,1,1397,"139,7",2,2,0,"0,38",F4Q,KR,Ascent,G2 eSports,Ataque,13,6,Vencedor,9,4,Jett,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
Mixwell,G2 eSports,EMEA,177,12,/10/,10,3,1185,"118,5",1,2,-1,"0,26",F4Q,KR,Ascent,G2 eSports,Ataque,13,6,Vencedor,9,4,Skye,14/09/2021,0,Masters Berlin 2021,D,Abertura,3
heat,Vivo Keyd,BR,362,24,/8/,8,1,2139,"213,9",6,1,5,"0,34",Zeta Division,JP,Breeze,Vivo Keyd,Ataque,13,3,Vencedor,9,4,Jett,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
murizzz,Vivo Keyd,BR,273,14,/6/,6,9,1978,"197,8",2,1,1,"0,2",Zeta Division,JP,Breeze,Vivo Keyd,Ataque,13,3,Vencedor,9,4,Reyna,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
ntk,Vivo Keyd,BR,168,10,/9/,9,1,1078,"107,8",2,2,0,"0,16",Zeta Division,JP,Breeze,Vivo Keyd,Ataque,13,3,Vencedor,9,4,Sova,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
v1xen,Vivo Keyd,BR,142,8,/5/,5,6,1114,"111,4",0,0,0,"0,21",Zeta Division,JP,Breeze,Vivo Keyd,Ataque,13,3,Vencedor,9,4,Viper,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
JhoW,Vivo Keyd,BR,130,8,/8/,8,2,721,"72,1",1,1,0,"0,11",Zeta Division,JP,Breeze,Vivo Keyd,Ataque,13,3,Vencedor,9,4,Killjoy,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
crow,Zeta Division,JP,175,10,/12/,12,4,1844,"184,4",1,2,-1,"0,24",Vivo Keyd,BR,Breeze,Vivo Keyd,Defesa,3,13,Perdedor,0,3,Sova,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
Laz,Zeta Division,JP,155,8,/12/,12,1,1656,"165,6",3,0,3,"0,38",Vivo Keyd,BR,Breeze,Vivo Keyd,Defesa,3,13,Perdedor,0,3,Cypher,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
takej,Zeta Division,JP,145,8,/14/,14,4,1516,"151,6",0,2,-2,"0,29",Vivo Keyd,BR,Breeze,Vivo Keyd,Defesa,3,13,Perdedor,0,3,Skye,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
Reita,Zeta Division,JP,138,7,/12/,12,4,1599,"159,9",1,3,-2,"0,24",Vivo Keyd,BR,Breeze,Vivo Keyd,Defesa,3,13,Perdedor,0,3,Jett,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
makiba,Zeta Division,JP,100,3,/14/,14,3,811,"81,1",0,4,-4,"0,17",Vivo Keyd,BR,Breeze,Vivo Keyd,Defesa,3,13,Perdedor,0,3,Viper,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
heat,Vivo Keyd,BR,371,23,/8/,8,3,2322,"232,2",4,2,2,"0,37",Zeta Division,JP,Split,Zeta Division,Defesa,13,4,Vencedor,3,10,Jett,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
murizzz,Vivo Keyd,BR,315,20,/10/,10,0,1877,"187,7",5,1,4,"0,21",Zeta Division,JP,Split,Zeta Division,Defesa,13,4,Vencedor,3,10,Raze,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
ntk,Vivo Keyd,BR,212,13,/9/,9,7,1356,"135,6",2,0,2,"0,19",Zeta Division,JP,Split,Zeta Division,Defesa,13,4,Vencedor,3,10,Sage,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
JhoW,Vivo Keyd,BR,157,9,/9/,9,4,1018,"101,8",0,0,0,"0,16",Zeta Division,JP,Split,Zeta Division,Defesa,13,4,Vencedor,3,10,Killjoy,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
v1xen,Vivo Keyd,BR,105,7,/7/,7,7,709,"70,9",2,1,1,"0,13",Zeta Division,JP,Split,Zeta Division,Defesa,13,4,Vencedor,3,10,Astra,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
Laz,Zeta Division,JP,315,19,/13/,13,4,1701,"170,1",1,1,0,"0,31",Vivo Keyd,BR,Split,Zeta Division,Ataque,4,13,Perdedor,2,2,Skye,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
takej,Zeta Division,JP,171,9,/15/,15,4,1175,"117,5",1,3,-2,"0,23",Vivo Keyd,BR,Split,Zeta Division,Ataque,4,13,Perdedor,2,2,Sage,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
Reita,Zeta Division,JP,119,6,/13/,13,3,946,"94,6",0,5,-5,"0,09",Vivo Keyd,BR,Split,Zeta Division,Ataque,4,13,Perdedor,2,2,Jett,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
crow,Zeta Division,JP,109,5,/14/,14,6,767,"76,7",1,1,0,"0,13",Vivo Keyd,BR,Split,Zeta Division,Ataque,4,13,Perdedor,2,2,Viper,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
barce,Zeta Division,JP,83,4,/17/,17,5,496,"49,6",1,3,-2,"0,16",Vivo Keyd,BR,Split,Zeta Division,Ataque,4,13,Perdedor,2,2,Brimstone,14/09/2021,0,Masters Berlin 2021,B,Eliminação,3
neth,Crazy Raccoon,JP,260,19,/14/,14,2,1706,"170,6",4,0,4,"0,15",Havan Liberty,BR,Haven,Havan Liberty,Ataque,13,9,Vencedor,6,7,Raze,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Medusa,Crazy Raccoon,JP,217,18,/13/,13,4,1262,"126,2",4,3,1,"0,3",Havan Liberty,BR,Haven,Havan Liberty,Ataque,13,9,Vencedor,6,7,Cypher,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Munchkin,Crazy Raccoon,JP,207,18,/15/,15,2,1300,130,3,5,-2,"0,18",Havan Liberty,BR,Haven,Havan Liberty,Ataque,13,9,Vencedor,6,7,Jett,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
ade,Crazy Raccoon,JP,206,16,/15/,15,8,1386,"138,6",0,1,-1,"0,23",Havan Liberty,BR,Haven,Havan Liberty,Ataque,13,9,Vencedor,6,7,Brimstone,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Fisker,Crazy Raccoon,JP,128,10,/16/,16,7,912,"91,2",0,2,-2,"0,21",Havan Liberty,BR,Haven,Havan Liberty,Ataque,13,9,Vencedor,6,7,Skye,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
krain,Havan Liberty,BR,267,18,/17/,17,10,1817,"181,7",3,0,3,"0,27",Crazy Raccoon,JP,Haven,Havan Liberty,Defesa,9,13,Perdedor,5,4,Breach,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
liazzi,Havan Liberty,BR,224,17,/15/,15,1,1488,"148,8",3,2,1,"0,24",Crazy Raccoon,JP,Haven,Havan Liberty,Defesa,9,13,Perdedor,5,4,Jett,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
pleets,Havan Liberty,BR,188,14,/16/,16,6,1318,"131,8",2,5,-3,"0,19",Crazy Raccoon,JP,Haven,Havan Liberty,Defesa,9,13,Perdedor,5,4,Astra,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
shion,Havan Liberty,BR,156,12,/18/,18,1,972,"97,2",2,2,0,"0,2",Crazy Raccoon,JP,Haven,Havan Liberty,Defesa,9,13,Perdedor,5,4,Skye,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Myssen,Havan Liberty,BR,151,11,/15/,15,3,1149,"114,9",1,2,-1,"0,41",Crazy Raccoon,JP,Haven,Havan Liberty,Defesa,9,13,Perdedor,5,4,Cypher,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Fisker,Crazy Raccoon,JP,268,21,/12/,12,12,1719,"171,9",1,1,0,"0,23",Havan Liberty,BR,Split,Crazy Raccoon,Defesa,13,8,Vencedor,9,4,Skye,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Munchkin,Crazy Raccoon,JP,266,18,/18/,18,3,1609,"160,9",4,2,2,"0,17",Havan Liberty,BR,Split,Crazy Raccoon,Defesa,13,8,Vencedor,9,4,Jett,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
Medusa,Crazy Raccoon,JP,203,15,/17/,17,1,1220,122,4,5,-1,"0,15",Havan Liberty,BR,Split,Crazy Raccoon,Defesa,13,8,Vencedor,9,4,Cypher,14/09/2021,0,Masters Berlin 2021,C,Eliminação,3
